catheter_type,filename,ok,error,rmse_error,normalized_error,error_percent,rmse_section,rmse_pair,rmse_big,rmse_small,rmse_all,rmse_outer,match_mode,score,ksize,threshold,iou_pair,iou_big,iou_small,iou_all,iou_outer,scale,shift_x,shift_y,rotation_deg,fit_scale
pro2,2_F_10.png,True,,0.09981480390344227,0.49907401951721136,49.907401951721134,0.10234402865171432,,0.091218963265419,0.09646657854318619,0.13276559114456177,,hole,0.6983704509462625,25,160.0,,0.7479286642573031,0.5885720854352449,0.6831348735537962,,3.285614922144986,-711.7149351515604,-772.3406154068125,-138.25,1.0
pro2,2_F_11.png,True,,0.07873283949575502,0.39366419747877507,39.36641974787751,0.08098765462636948,,0.06509992480278015,0.0868959128856659,0.108576700091362,,hole,0.8093009379777707,25,158.0,,0.8632488561047543,0.6927093295350494,0.7878286128743717,,3.2879168803665992,-686.6890616578389,-919.17200048175,39.75,1.0
pro2,2_F_12.png,True,,0.08329705926908787,0.41648529634543935,41.648529634543934,0.09394466876983643,,0.07459758967161179,0.08313843607902527,0.11169959604740143,,hole,0.781771017806077,25,154.0,,0.8103508209906416,0.7206527801353088,0.7693155345190992,,3.3142101784525377,-334.5529071973656,-1198.7483057574216,-30.0,1.0
pro2,2_F_13.png,True,,0.08215059401349757,0.41075297006748784,41.075297006748784,0.0970870703458786,,0.07522765547037125,0.07912521809339523,0.10917875170707703,,hole,0.7893802714970841,25,158.0,,0.8083796650571895,0.7487539628396003,0.7810932116858026,,3.2920268732102818,-560.4898712208283,-896.9603546520809,-103.25,1.0
pro2,2_F_15.png,True,,0.09660460470731085,0.4830230235365542,48.30230235365542,0.09012657403945923,,0.08871414512395859,0.09259859472513199,0.12823688983917236,,hole,0.7191652517133149,25,157.0,,0.7633840927198112,0.6210785418517193,0.7057677374566561,,3.30960333219956,-683.4304112204068,-866.8681774325962,-19.5,1.0
pro2,2_F_16.png,True,,0.08168194114760156,0.4084097057380078,40.840970573800774,0.08242390304803848,,0.06527173519134521,0.09322874993085861,0.11380685120820999,,hole,0.7947963256308248,25,158.0,,0.8598524970887583,0.655277175141691,0.7671035572809808,,3.2188230772668938,-265.9175534876781,-1090.3088185461454,-178.5,1.0
pro2,2_F_2.png,True,,0.08216160798455086,0.4108080399227543,41.08080399227543,0.08846807479858398,,0.06772739440202713,0.09097087383270264,0.11341384053230286,,hole,0.7924361616954976,25,157.0,,0.849291799594563,0.6703906386910736,0.7684228151066094,,3.2722284372337502,-245.8871064037271,-1202.0404704859395,-117.5,1.0
pro2,2_F_4.png,True,,0.07841807843583005,0.39209039217915026,39.20903921791503,0.07028300315141678,,0.06604316830635071,0.08482511341571808,0.1075034886598587,,hole,0.8124393270218123,25,158.0,,0.8609892053657651,0.7072987177818276,0.7934741623793091,,3.2308411863008613,-492.6297054351935,-821.4071356104198,-172.0,1.0
pro2,2_F_6.png,True,,0.0847238734420225,0.42361936721011245,42.36193672101125,0.0994766354560852,,0.07909803837537766,0.07883146405220032,0.11167318373918533,,hole,0.7751556123203577,25,157.0,,0.7873211954748178,0.7491330833168495,0.7698641613750316,,3.169037822623101,-607.6624779776112,-806.7922440488167,-136.75,1.0
pro2,2_F_8.png,True,,0.08141415778778634,0.40707078893893167,40.70707889389317,0.07571129500865936,,0.06851787865161896,0.08813682943582535,0.11163691431283951,,hole,0.7977159040321443,25,158.0,,0.8498291877782895,0.6849893348688959,0.777140384319644,,3.1743113728857137,-470.19469023397096,-789.2752134557065,-160.75,1.0
