epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.5326994025809133,0.26495726495726496,1.054199563132392,0.5555555555555556,0.5197530864197532
2,1.3676986500748203,0.42735042735042733,1.0168070572393912,0.6666666666666666,0.619047619047619
3,1.3014884382231622,0.49572649572649574,0.9882998731401231,0.6296296296296297,0.6021794871794871
4,1.206309548809997,0.6153846153846154,0.9730180192876745,0.7037037037037037,0.6962715223584789
5,1.1794544111969125,0.6495726495726496,0.9809139282615097,0.6666666666666666,0.6590909090909091
6,1.0863752925497854,0.7094017094017094,0.9219275249375237,0.8148148148148148,0.813903743315508
7,1.0058343797667413,0.8376068376068376,0.8712686565187242,0.8518518518518519,0.8395989974937343
8,0.9942026724163283,0.8461538461538461,0.7674687725526316,1.0,1.0
9,0.9841982982097528,0.811965811965812,0.7113212810622321,1.0,1.0
10,0.8438724839789236,0.905982905982906,0.6785483448593704,1.0,1.0
11,0.8375337337836241,0.9230769230769231,0.6408898697959052,1.0,1.0
12,0.816657443331857,0.8803418803418803,0.6113622188568115,1.0,1.0
13,0.7810591173987104,0.9230769230769231,0.5813061771569429,1.0,1.0
14,0.7836388767275035,0.9401709401709402,0.567110350838414,1.0,1.0
15,0.6916912575053353,0.9572649572649573,0.5365170604652829,1.0,1.0
16,0.7217757783384404,0.9316239316239316,0.5182591765015213,1.0,1.0
17,0.6279192128752031,0.9658119658119658,0.4996647691285169,1.0,1.0
18,0.6637657834933355,0.9572649572649573,0.4791198803318871,1.0,1.0
19,0.5990478126411765,0.9743589743589743,0.45804173637319495,1.0,1.0
20,0.5815647142565149,0.9743589743589743,0.4402802652782864,1.0,1.0
21,0.629919121408055,0.9572649572649573,0.4238022378197423,1.0,1.0
22,0.5705054499145247,0.9658119658119658,0.41160912425429735,1.0,1.0
23,0.5546958894811125,0.9658119658119658,0.39726590889471547,1.0,1.0
24,0.5304446480213068,0.9829059829059829,0.3862342657866301,1.0,1.0
25,0.5284273349321805,0.9829059829059829,0.3702133529716068,1.0,1.0
26,0.45138994852701825,0.9658119658119658,0.35769599455374257,1.0,1.0
27,0.48265453077789044,0.9487179487179487,0.3453474320747234,1.0,1.0
28,0.4757777819266686,0.9914529914529915,0.3309554700498228,1.0,1.0
29,0.4292226469414866,0.9914529914529915,0.3282531312218419,1.0,1.0
30,0.4628419707982968,0.9914529914529915,0.3160069606922291,1.0,1.0
31,0.4455959318030594,0.9829059829059829,0.3051630170257003,1.0,1.0
32,0.35944927044403857,1.0,0.30001602680594835,1.0,1.0
33,0.3908260785616361,0.9829059829059829,0.2799176154313264,1.0,1.0
34,0.3846536620050414,0.9658119658119658,0.2703825781742732,1.0,1.0
35,0.46361082002647924,0.9572649572649573,0.2630200766854816,1.0,1.0
36,0.3691157319097437,1.0,0.2536150261207863,1.0,1.0
37,0.3149477167007251,1.0,0.25107309332600347,1.0,1.0
38,0.35827301761024016,0.9829059829059829,0.24174732521728234,1.0,1.0
39,0.30253873192347014,1.0,0.2363304931808401,1.0,1.0
40,0.3345355569806873,1.0,0.23099655409653982,1.0,1.0
41,0.34925508193480664,0.9914529914529915,0.22450654594986527,1.0,1.0
42,0.327381699003725,0.9914529914529915,0.2195665764587897,1.0,1.0
43,0.31711646124847936,0.9914529914529915,0.2100423866951907,1.0,1.0
44,0.3223823892255115,0.9914529914529915,0.20635246402687496,1.0,1.0
45,0.33441836813576203,0.9743589743589743,0.19751508754712563,1.0,1.0
46,0.28527667277898544,1.0,0.1933454644900781,1.0,1.0
47,0.2992311868912134,0.9829059829059829,0.19274567674707482,1.0,1.0
48,0.30669823339861685,0.9914529914529915,0.18858268194728428,1.0,1.0
49,0.28612555015800345,0.9829059829059829,0.18068242293817025,1.0,1.0
50,0.263188456877684,0.9829059829059829,0.17902167748521874,1.0,1.0
