epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.0646309169948611,0.5641025641025641,0.9735687860736141,0.9259259259259259,0.9274509803921568
2,1.0124387572973201,0.7863247863247863,0.9848111823753074,0.7407407407407407,0.7367948717948719
3,0.9721156857971452,0.8974358974358975,0.9628264727415862,0.7037037037037037,0.6526824307144673
4,0.9202488864588941,0.9829059829059829,0.9292439708003292,0.7777777777777778,0.7568922305764411
5,0.9121255095188434,0.9487179487179487,0.9048017462094625,0.8888888888888888,0.8865955739020754
6,0.8430511594837548,0.9914529914529915,0.8855206789793791,0.8148148148148148,0.8095238095238094
7,0.8039769428408045,1.0,0.828930327185878,0.8888888888888888,0.8857142857142858
8,0.7676170198326437,1.0,0.778236362669203,1.0,1.0
9,0.7509818887099241,0.9743589743589743,0.7212052897170738,1.0,1.0
10,0.7204069036703843,1.0,0.6834985282686021,1.0,1.0
11,0.6813469004427266,1.0,0.6335771061755993,1.0,1.0
12,0.640309737278865,1.0,0.6065855114548294,1.0,1.0
13,0.6312098014049041,1.0,0.5708113776312934,1.0,1.0
14,0.6313875404178587,1.0,0.5358564831592418,1.0,1.0
15,0.5781704391169752,1.0,0.528018487824334,1.0,1.0
16,0.5857557302866226,1.0,0.5148151848051283,1.0,1.0
17,0.53721763435592,1.0,0.4857531178880621,1.0,1.0
18,0.501595089578221,1.0,0.460479262802336,1.0,1.0
19,0.4954891250683711,1.0,0.45958174489162584,1.0,1.0
20,0.48316723668677175,1.0,0.43256333470344543,1.0,1.0
21,0.49232758645318514,1.0,0.4218578713911551,1.0,1.0
22,0.4461982741824582,1.0,0.3961701558695899,1.0,1.0
23,0.41360613321646666,1.0,0.36928987944567643,1.0,1.0
24,0.45944126650818395,1.0,0.368721941003093,1.0,1.0
25,0.4171136755209703,0.9914529914529915,0.3537022482465815,1.0,1.0
26,0.4092153025488568,1.0,0.3357439736525218,1.0,1.0
27,0.3797828320764069,1.0,0.3376359365604542,1.0,1.0
28,0.3594065328948518,1.0,0.3284398074503298,1.0,1.0
29,0.4048235421506768,1.0,0.3054707502877271,1.0,1.0
30,0.35698311731346655,1.0,0.27780243423249984,1.0,1.0
31,0.37339304349361324,1.0,0.28840762156027333,1.0,1.0
32,0.3316562532359718,0.9914529914529915,0.2762289985462471,1.0,1.0
33,0.3377803215104291,1.0,0.2793632922349153,1.0,1.0
34,0.31731180757538885,1.0,0.2640819428143678,1.0,1.0
35,0.30366990097567564,1.0,0.25452445833771314,1.0,1.0
36,0.33786238258720463,1.0,0.2558643028691963,1.0,1.0
37,0.29554537855661833,1.0,0.24313942536159797,1.0,1.0
38,0.29297035983485037,1.0,0.22865322673762287,1.0,1.0
39,0.2986437041535337,1.0,0.23773245458249692,1.0,1.0
40,0.2788574369544657,1.0,0.23339043502454404,1.0,1.0
41,0.3119829251216008,1.0,0.2475177789175952,1.0,1.0
42,0.28097880396068603,1.0,0.2273487067884869,1.0,1.0
43,0.2540099008215798,1.0,0.22510945079503236,1.0,1.0
44,0.242880495185526,1.0,0.2561152505653876,1.0,1.0
45,0.27659346252425104,1.0,0.23576029969586265,1.0,1.0
46,0.27343696559596264,1.0,0.2133238254873841,1.0,1.0
47,0.24418217656958816,1.0,0.19076247844431135,1.0,1.0
48,0.21186336518352866,1.0,0.1741076409816742,1.0,1.0
49,0.22383674546184704,1.0,0.17428701177791314,1.0,1.0
50,0.22843120138869327,1.0,0.16817504553883164,1.0,1.0
