epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.1503453672441661,0.3333333333333333,0.8603768900588706,0.6666666666666666,0.6256900993743099
2,1.0306509132059212,0.452991452991453,0.8498857021331787,0.7407407407407407,0.743859649122807
3,0.9637674653632009,0.6837606837606838,0.8443178313749807,0.7037037037037037,0.6731502669717773
4,0.8821640590317229,0.8461538461538461,0.833592277986032,0.7777777777777778,0.7747584541062801
5,0.8223456755662576,0.905982905982906,0.7806446530200817,0.9259259259259259,0.9249999999999999
6,0.7605416413046356,0.9572649572649573,0.7287494937578837,1.0,1.0
7,0.691137277162992,0.9829059829059829,0.6677816311518351,1.0,1.0
8,0.7029544237332467,0.9401709401709402,0.6186423235469394,1.0,1.0
9,0.6297679237830334,0.9743589743589743,0.5686897458853545,1.0,1.0
10,0.5701106664461967,1.0,0.5391174201612119,1.0,1.0
11,0.6081635575009208,0.9914529914529915,0.5024217852839717,1.0,1.0
12,0.5346207825037149,1.0,0.4672399306738818,1.0,1.0
13,0.5087130996916029,0.9743589743589743,0.4324294549447519,1.0,1.0
14,0.47693219144120175,0.9829059829059829,0.409214801258511,1.0,1.0
15,0.4244616902791537,0.9914529914529915,0.386251966158549,1.0,1.0
16,0.44101493022380733,0.9743589743589743,0.3676965093171155,1.0,1.0
17,0.38203132228973585,1.0,0.3557372104238581,1.0,1.0
18,0.36204163666464323,1.0,0.34064775043063694,1.0,1.0
19,0.3345730554344308,1.0,0.3257003768726631,1.0,1.0
20,0.32604653814918977,1.0,0.3118099669615428,1.0,1.0
21,0.31323529104901177,1.0,0.2903358538945516,1.0,1.0
22,0.3013228043022319,1.0,0.28018909472006337,1.0,1.0
23,0.2681190907700449,1.0,0.25962208266611453,1.0,1.0
24,0.24707920556394464,1.0,0.24881722640108178,1.0,1.0
25,0.31104410407889604,1.0,0.2429196012240869,1.0,1.0
26,0.266805049445894,1.0,0.23129622251899154,1.0,1.0
27,0.23177988508827665,1.0,0.22016498612032998,1.0,1.0
28,0.28869368454329986,1.0,0.2105056025363781,1.0,1.0
29,0.2622366453337873,0.9914529914529915,0.2018701301680671,1.0,1.0
30,0.25536331152304625,1.0,0.19343772420176752,1.0,1.0
31,0.2262276558794527,1.0,0.1845853450121703,1.0,1.0
32,0.25970445764370453,0.9914529914529915,0.1761576693367075,1.0,1.0
33,0.20783527195453644,1.0,0.16920482063734973,1.0,1.0
34,0.25044648845990497,1.0,0.16299556195735931,1.0,1.0
35,0.20008938180075753,0.9914529914529915,0.16779675638234173,1.0,1.0
36,0.2632994570283808,0.9572649572649573,0.16770621692692791,1.0,1.0
37,0.1505326013534497,1.0,0.15615322909973287,1.0,1.0
38,0.1841373637191251,0.9914529914529915,0.15915783301547723,1.0,1.0
39,0.18378268704455122,1.0,0.14690283879085822,1.0,1.0
40,0.15135503808657327,1.0,0.13862884486163105,1.0,1.0
41,0.15815642654386342,1.0,0.1318646956373144,1.0,1.0
42,0.16872319349875817,1.0,0.13161696438436155,1.0,1.0
43,0.18322607187124398,0.9829059829059829,0.12640929084133218,1.0,1.0
44,0.14029362313767785,1.0,0.12566541135311127,1.0,1.0
45,0.13883472928124616,1.0,0.12313610867217735,1.0,1.0
46,0.19267959115851638,1.0,0.1207696889285688,1.0,1.0
47,0.12613876711609018,1.0,0.11394300366993304,1.0,1.0
48,0.13347479115184555,1.0,0.11484062092171775,1.0,1.0
49,0.1382451607630803,1.0,0.10951897253592809,1.0,1.0
50,0.13182355348880476,1.0,0.10501243008507623,1.0,1.0
