model,Original RR,RR + HoleAlign,Improvement_pp
DenseNet-121,0.82,0.9844444444444445,16.44444444444445
DenseNet-201,0.8488888888888889,1.0,15.111111111111109
MobileNet-V2,0.8655555555555555,0.9922222222222222,12.666666666666671
ResNet-18,0.8866666666666667,0.981111111111111,9.444444444444432
EfficientNet-B0,0.9377777777777778,0.9855555555555556,4.77777777777778
ResNet-50,0.9866666666666667,0.9855555555555556,-0.11111111111110628
