epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.1091403380418434,0.19658119658119658,0.9933759150681672,0.8148148148148148,0.8045112781954886
2,1.0726059583517222,0.5042735042735043,1.029976451838458,0.5185185185185185,0.5023849607182941
3,1.037059716689281,0.7606837606837606,1.0263748875370733,0.4444444444444444,0.3943019943019943
4,0.9992417107280503,0.9401709401709402,1.005396443384665,0.48148148148148145,0.45756204579733994
5,0.9652145285891671,0.9658119658119658,0.9642418159378899,0.6296296296296297,0.6273504273504273
6,0.9394465063372229,0.9572649572649573,0.9183517650321678,0.9259259259259259,0.9258112601765852
7,0.9012064882832714,0.9914529914529915,0.8803374281635991,1.0,1.0
8,0.8781727812229059,0.9914529914529915,0.8450780157689695,1.0,1.0
9,0.848175816046886,1.0,0.8182713124487135,1.0,1.0
10,0.8073491713939569,0.9914529914529915,0.785348461733924,1.0,1.0
11,0.7879548189986465,1.0,0.7572315732638041,1.0,1.0
12,0.7899419206839341,0.9914529914529915,0.7223337248519615,1.0,1.0
13,0.770515048605764,1.0,0.6972454830452248,1.0,1.0
14,0.7298716561407106,1.0,0.6727793238781117,1.0,1.0
15,0.7089960809446808,0.9914529914529915,0.6453492508994209,1.0,1.0
16,0.691632017111167,0.9914529914529915,0.6264524923430549,1.0,1.0
17,0.6617218780721354,1.0,0.6031391024589539,1.0,1.0
18,0.6445862503133268,0.9914529914529915,0.5915580060746934,1.0,1.0
19,0.6165630868357471,0.9914529914529915,0.5683049338835257,1.0,1.0
20,0.6068512878866277,0.9914529914529915,0.5536379173949912,1.0,1.0
21,0.5952508582009209,1.0,0.5418640441364713,1.0,1.0
22,0.5555950790388972,1.0,0.5161623645711828,1.0,1.0
23,0.5480974423579681,1.0,0.4979413825052756,1.0,1.0
24,0.5344485951285077,1.0,0.478223764234119,1.0,1.0
25,0.5382739188324692,1.0,0.47593726604073133,1.0,1.0
26,0.5192044056378878,1.0,0.4540139646441848,1.0,1.0
27,0.4987591871848473,0.9914529914529915,0.43600607139092906,1.0,1.0
28,0.49350923045068723,1.0,0.42783224472293147,1.0,1.0
29,0.45900396353159195,1.0,0.4130336609151628,1.0,1.0
30,0.461397611687326,1.0,0.40421710190949617,1.0,1.0
31,0.4553387333185245,1.0,0.3918757515924948,1.0,1.0
32,0.42061457980392325,1.0,0.37307776897041883,1.0,1.0
33,0.43358943197462296,0.9914529914529915,0.3629326974904096,1.0,1.0
34,0.4087942874329722,0.9914529914529915,0.35104582375950283,1.0,1.0
35,0.38460112687868947,1.0,0.33627920128681044,1.0,1.0
36,0.40005825167028314,1.0,0.3367557613937943,1.0,1.0
37,0.4356289760679261,0.9914529914529915,0.32782913910018074,1.0,1.0
38,0.3763651511608026,1.0,0.32416689064767623,1.0,1.0
39,0.36957293952632153,1.0,0.3117515610324012,1.0,1.0
40,0.37781542233931714,0.9914529914529915,0.3050137294663323,1.0,1.0
41,0.3283511186257387,1.0,0.30049090473740186,1.0,1.0
42,0.32540910417198116,1.0,0.29226542071059897,1.0,1.0
43,0.3677253040493044,1.0,0.2899370872312122,1.0,1.0
44,0.3402375764826424,1.0,0.28013193441761863,1.0,1.0
45,0.34304538598427403,0.9914529914529915,0.26477509792204257,1.0,1.0
46,0.3263718378849519,1.0,0.26609124188069944,1.0,1.0
47,0.37581465845434076,0.9914529914529915,0.260447151682995,1.0,1.0
48,0.30983612374362784,1.0,0.2512695088430687,1.0,1.0
49,0.2974528739085564,1.0,0.24161398907502493,1.0,1.0
50,0.3033880764602596,1.0,0.2424718737602234,1.0,1.0
