epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.1523466762314496,0.2564102564102564,1.1229284383632518,0.25925925925925924,0.18666666666666668
2,1.049532824092441,0.5213675213675214,1.1097543681109394,0.3333333333333333,0.3362193362193362
3,0.9391230798175192,0.7521367521367521,1.0478251156983551,0.3333333333333333,0.3111111111111111
4,0.8644224975863074,0.8376068376068376,0.9446677720105207,0.5925925925925926,0.6047619047619048
5,0.7909529851033137,0.9487179487179487,0.8223638159257395,0.9259259259259259,0.9249999999999999
6,0.7118725909127129,0.9743589743589743,0.7240372476754365,0.9259259259259259,0.9232456140350876
7,0.6342708320699186,1.0,0.657234929226063,1.0,1.0
8,0.6013394874385279,0.9914529914529915,0.5938365746427465,1.0,1.0
9,0.5376400382090838,0.9914529914529915,0.5301910197293317,1.0,1.0
10,0.5066843641619397,0.9914529914529915,0.47179040864661886,1.0,1.0
11,0.47935504994840705,0.9914529914529915,0.4308696808638396,1.0,1.0
12,0.47561567767053586,0.9829059829059829,0.4003632123823519,1.0,1.0
13,0.39595353730723387,1.0,0.37096372688258133,1.0,1.0
14,0.355769977100894,1.0,0.342511972895375,1.0,1.0
15,0.3571565721788977,1.0,0.3155397485803675,1.0,1.0
16,0.3365829826420189,1.0,0.299366389159803,1.0,1.0
17,0.27967722573850906,1.0,0.28171927951000353,1.0,1.0
18,0.3057438107127817,0.9829059829059829,0.2643458777003818,1.0,1.0
19,0.3145279474238045,1.0,0.24667728388750995,1.0,1.0
20,0.26327908153717333,1.0,0.23308685421943665,1.0,1.0
21,0.2755223013396956,1.0,0.22146489995497246,1.0,1.0
22,0.23396113463956067,1.0,0.20690525240368313,1.0,1.0
23,0.20121561793180612,1.0,0.1982283835057859,1.0,1.0
24,0.24347691199718377,1.0,0.1904410990300002,1.0,1.0
25,0.24439607471482366,0.9829059829059829,0.1790692894547074,1.0,1.0
26,0.21681575337026873,1.0,0.17714885649857698,1.0,1.0
27,0.24430251541810158,1.0,0.16841195302980919,1.0,1.0
28,0.22275864721363425,1.0,0.16067302999673067,1.0,1.0
29,0.1873386069240733,0.9829059829059829,0.1537858838284457,1.0,1.0
30,0.19481464074208185,1.0,0.14536270168092516,1.0,1.0
31,0.15457205410696503,1.0,0.14205686140943458,1.0,1.0
32,0.16049977423798326,1.0,0.13845579546910744,1.0,1.0
33,0.12656811873118082,1.0,0.13292386851928853,1.0,1.0
34,0.1409053889095274,1.0,0.12695545454819998,1.0,1.0
35,0.1862331385541166,1.0,0.11791288245607305,1.0,1.0
36,0.1130948935309027,1.0,0.11866823114730694,1.0,1.0
37,0.1446349846246915,1.0,0.11164105297238738,1.0,1.0
38,0.17999244092876077,0.9914529914529915,0.10772046226042288,1.0,1.0
39,0.13256680430510107,0.9914529914529915,0.10814588572140094,1.0,1.0
40,0.09919384835112809,1.0,0.10224535757744754,1.0,1.0
41,0.13730724487039778,1.0,0.099799408128968,1.0,1.0
42,0.1170627868328339,1.0,0.0962216059366862,1.0,1.0
43,0.10868372876419981,1.0,0.09550740900966856,1.0,1.0
44,0.11606745128957634,0.9914529914529915,0.09161521328820123,1.0,1.0
45,0.13500825411234146,1.0,0.08633317467239168,1.0,1.0
46,0.137143356168372,0.9829059829059829,0.08400973815608907,1.0,1.0
47,0.09671081360588726,1.0,0.08365901007696434,1.0,1.0
48,0.10007822870189308,1.0,0.078930983112918,1.0,1.0
49,0.08835757520591092,1.0,0.07722737336600269,1.0,1.0
50,0.09887590138321249,0.9914529914529915,0.07520454625288646,1.0,1.0
