epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.2450971450561132,0.19658119658119658,1.3265047117515847,0.2962962962962963,0.1568627450980392
2,1.1509951434583745,0.3162393162393162,1.348262623504356,0.37037037037037035,0.273015873015873
3,1.104944172068539,0.37606837606837606,1.2307690426155373,0.4074074074074074,0.2887864823348694
4,0.998673249513675,0.5042735042735043,1.1135913884198223,0.5185185185185185,0.41036414565826335
5,0.9414150159583132,0.5555555555555556,0.9996338817808363,0.5555555555555556,0.4826210826210826
6,0.909405676727621,0.6581196581196581,0.8929775423473783,0.7407407407407407,0.7062271062271063
7,0.8160637015970345,0.7606837606837606,0.8179734547932943,0.8148148148148148,0.7908424908424908
8,0.767813148152115,0.8034188034188035,0.7598988325507553,0.9629629629629629,0.9628482972136223
9,0.7317943216389061,0.8461538461538461,0.7100359223507069,0.9629629629629629,0.9628482972136223
10,0.6646165282298357,0.9145299145299145,0.6632328497038947,0.9629629629629629,0.9628482972136223
11,0.6207019324995514,0.9743589743589743,0.6280142399999831,1.0,1.0
12,0.6032628600413983,0.9230769230769231,0.5927545737337183,1.0,1.0
13,0.5500506501421969,0.9743589743589743,0.5609550718907956,1.0,1.0
14,0.5292651021582448,0.9658119658119658,0.5246675058647439,1.0,1.0
15,0.5602008374328287,0.905982905982906,0.4972764805511192,1.0,1.0
16,0.45768156825986683,0.9914529914529915,0.4716016385290358,1.0,1.0
17,0.44716253188940197,0.9914529914529915,0.4471841200634285,1.0,1.0
18,0.4240418025571057,0.9829059829059829,0.41501933998531765,1.0,1.0
19,0.41972327487081545,1.0,0.3952593637837304,1.0,1.0
20,0.3788478927225129,0.9914529914529915,0.37829115986824036,1.0,1.0
21,0.3794061421838581,0.9914529914529915,0.3518025080362956,1.0,1.0
22,0.3685048838965913,0.9914529914529915,0.3401890816511931,1.0,1.0
23,0.38161543088081556,0.9914529914529915,0.32002194391356575,1.0,1.0
24,0.32647081419952917,1.0,0.2989642355177138,1.0,1.0
25,0.28452707992659676,0.9914529914529915,0.294378192336471,1.0,1.0
26,0.29179649475293284,0.9914529914529915,0.2820288594122286,1.0,1.0
27,0.259013265498683,1.0,0.27417278731310807,1.0,1.0
28,0.26549635636500823,1.0,0.2643141923127351,1.0,1.0
29,0.24987694939487,1.0,0.25213932328754,1.0,1.0
30,0.2565776563098288,1.0,0.24044022957483926,1.0,1.0
31,0.22293629096104547,1.0,0.23141579495535958,1.0,1.0
32,0.26221198531297535,1.0,0.21636535392867196,1.0,1.0
33,0.22553529520320076,0.9914529914529915,0.2062578030206539,1.0,1.0
34,0.24609291298776612,0.9829059829059829,0.20592631454820987,1.0,1.0
35,0.2106382943626143,1.0,0.19499770800272623,1.0,1.0
36,0.23558922710581723,0.9829059829059829,0.18676476898016753,1.0,1.0
37,0.19754040241241455,1.0,0.18302279710769653,1.0,1.0
38,0.20565426031239012,0.9914529914529915,0.17729993495676252,1.0,1.0
39,0.17391680486691305,1.0,0.17163972391022575,1.0,1.0
40,0.2167324062086578,0.9829059829059829,0.17401291098859575,1.0,1.0
41,0.17734249407409602,0.9914529914529915,0.16269773796752648,1.0,1.0
42,0.22576611431745383,0.9914529914529915,0.1530550315424248,1.0,1.0
43,0.17177285075697124,1.0,0.1493621556847184,1.0,1.0
44,0.19336173193067566,1.0,0.14648549424277413,1.0,1.0
45,0.19463823742081976,1.0,0.1413853731420305,1.0,1.0
46,0.1540066653337234,1.0,0.13916503886381784,1.0,1.0
47,0.17438481206822598,1.0,0.1332378359856429,1.0,1.0
48,0.15172922598500538,1.0,0.13235042989253998,1.0,1.0
49,0.1301996050736843,1.0,0.12413173472439801,1.0,1.0
50,0.11519385441246195,1.0,0.1242577212828177,1.0,1.0
